Unlimited Data Plan,Account Length (in months),Intl Active,Intl Plan,State,Gender,Age,Under 30,Senior,Group,Demographics,Contract Type,Payment Method,Churn Category,Churn Reason,Total Customers,Churned Customers,Avg Monthly Charges,Avg Customer Service Calls,Avg Extra International Charges,Avg Extra Data Charges,Avg Monthly GB Download,Grouped Comsumtion
No,41,No,no,MI,Female,49,No,No,,Other,,,,,1,,7,0,0,0,0,Less than 5 GB
No,41,No,no,NM,Female,53,No,No,,Other,,,,,1,,13,0,0,0,0,Less than 5 GB
No,41,No,no,SC,Male,66,No,Yes,No,Senior,One Year,Direct Debit,(blank),(blank),1,,62,0,0,56,6,Between 5 and 10 GB
No,41,No,no,WI,Female,81,No,Yes,No,Senior,One Year,Direct Debit,(blank),(blank),1,,54,0,0,56,5,Between 5 and 10 GB
No,41,No,no,WV,Male,27,Yes,No,,Under 30,,,,,1,,10,0,0,0,0,Less than 5 GB
No,41,No,no,WY,Male,53,No,No,,Other,,,,,1,,13,0,0,0,0,Less than 5 GB
No,41,Yes,no,MO,Female,30,No,No,,Other,,,,,1,,29,1,147.6,24,14,10 o more GB
No,41,Yes,no,MO,Male,21,Yes,No,,Under 30,,,,,1,,8,1,141.5,0,0,Less than 5 GB
No,41,Yes,no,NE,Male,69,No,Yes,No,Senior,Month-to-Month,Direct Debit,(blank),(blank),1,,55,0,81.2,17,1,Less than 5 GB
No,41,Yes,no,NJ,Female,53,No,No,,Other,,,,,1,,10,0,100.5,0,0,Less than 5 GB
No,41,Yes,no,NM,Female,25,Yes,No,,Under 30,,,,,1,,13,1,107.6,0,0,Less than 5 GB
No,41,Yes,no,WI,Male,68,No,Yes,No,Senior,One Year,Direct Debit,(blank),(blank),1,,37,1,105.6,29,5,Between 5 and 10 GB
No,41,Yes,yes,NY,Female,48,No,No,,Other,,,,,1,,7,1,0,0,0,Less than 5 GB
No,42,No,no,CA,Male,43,No,No,,Other,,,,,1,,8,0,0,0,0,Less than 5 GB
No,42,No,no,CO,Female,47,No,No,,Other,,,,,1,,12,0,0,0,0,Less than 5 GB
No,42,No,no,CT,Male,42,No,No,,Other,,,,,1,,17,0,0,0,0,Less than 5 GB
No,42,No,no,GA,Female,37,No,No,,Other,,,,,1,,59,0,0,51,9,Between 5 and 10 GB
No,42,No,no,ID,Male,62,No,No,,Other,,,,,1,,7,0,0,0,0,Less than 5 GB
No,42,No,no,KY,Female,77,No,Yes,No,Senior,One Year,Direct Debit,Dissatisfaction,Service dissatisfaction,1,1,59,0,0,90,9,Between 5 and 10 GB
No,42,No,no,NH,Male,62,No,No,,Other,,,,,1,,10,1,0,0,0,Less than 5 GB
No,42,No,no,NY,Male,30,No,No,,Other,,,,,1,,12,0,0,0,0,Less than 5 GB
No,42,No,no,RI,Male,48,No,No,,Other,,,,,1,1,46,5,0,61,3,Less than 5 GB
No,42,No,no,RI,Male,67,No,Yes,No,Senior,One Year,Direct Debit,(blank),(blank),1,,36,0,0,38,2,Less than 5 GB
No,42,Yes,no,AK,Male,60,No,No,,Other,,,,,1,1,60,1,107.1,78,12,10 o more GB
No,42,Yes,no,IN,Male,55,No,No,,Other,,,,,1,,7,1,245.7,0,0,Less than 5 GB
No,42,Yes,no,OH,Female,61,No,No,,Other,,,,,1,1,64,3,154.4,81,4,Less than 5 GB
No,42,Yes,no,RI,Female,67,No,Yes,Yes,Senior,Two Year,Credit Card,(blank),(blank),1,,9,0,102.9,0,0,Less than 5 GB
No,42,Yes,no,WA,Female,21,Yes,No,,Under 30,,,,,1,,46,0,162.8,55,23,10 o more GB
No,42,Yes,no,WI,Female,39,No,No,,Other,,,,,1,,11,2,95.8,0,0,Less than 5 GB
No,43,No,no,AL,Male,31,No,No,,Other,,,,,1,,13,0,0,0,0,Less than 5 GB
No,43,No,no,AR,Male,66,No,Yes,Yes,Senior,Two Year,Credit Card,(blank),(blank),1,,8,0,0,0,0,Less than 5 GB
No,43,No,no,FL,Male,36,No,No,,Other,,,,,1,,27,2,0,53,2,Less than 5 GB
No,43,No,no,HI,Female,50,No,No,,Other,,,,,1,,46,3,0,58,3,Less than 5 GB
No,43,No,no,ID,Female,39,No,No,,Other,,,,,1,,19,0,0,19,25,10 o more GB
No,43,No,no,IN,Male,58,No,No,,Other,,,,,1,,16,0,0,0,0,Less than 5 GB
No,43,No,no,KS,Male,53,No,No,,Other,,,,,1,,8,0,0,0,0,Less than 5 GB
No,43,No,no,MI,Female,30,No,No,,Other,,,,,1,,7,2,0,0,0,Less than 5 GB
No,43,No,no,ND,Male,64,No,No,,Other,,,,,1,,8,0,0,0,0,Less than 5 GB
No,43,No,no,NE,Male,52,No,No,,Other,,,,,1,,30,1,0,57,11,10 o more GB
No,43,No,no,NH,Female,49,No,No,,Other,,,,,1,,24,0,0,35,3,Less than 5 GB
No,43,No,no,NM,Male,39,No,No,,Other,,,,,1,,10,2,0,0,0,Less than 5 GB
No,43,No,no,SC,Female,42,No,No,,Other,,,,,1,,7,0,0,0,0,Less than 5 GB
No,43,No,no,SD,Female,32,No,No,,Other,,,,,1,,40,0,0,15,27,10 o more GB
No,43,No,no,VA,Male,23,Yes,No,,Under 30,,,,,1,,7,0,0,0,0,Less than 5 GB
No,43,No,no,VT,Female,38,No,No,,Other,,,,,1,,9,0,0,0,0,Less than 5 GB
No,43,No,no,WY,Male,27,Yes,No,,Under 30,,,,,1,,15,0,0,7,23,10 o more GB
No,43,Yes,no,AZ,Female,26,Yes,No,,Under 30,,,,,1,,10,0,225.8,0,0,Less than 5 GB
No,43,Yes,no,AZ,Female,36,No,No,,Other,,,,,1,,9,0,210.7,0,0,Less than 5 GB
No,43,Yes,no,CA,Male,66,No,Yes,No,Senior,Month-to-Month,Direct Debit,Dissatisfaction,Product dissatisfaction,1,1,56,5,77.4,83,4,Less than 5 GB
No,43,Yes,no,NJ,Female,62,No,No,,Other,,,,,1,,8,0,67.1,0,0,Less than 5 GB
No,43,Yes,no,SC,Male,63,No,No,,Other,,,,,1,,10,0,92,0,0,Less than 5 GB
No,43,Yes,no,WI,Female,59,No,No,,Other,,,,,1,1,12,5,85,31,2,Less than 5 GB
No,44,No,no,CO,Male,79,No,Yes,No,Senior,Two Year,Credit Card,(blank),(blank),1,,7,1,0,0,0,Less than 5 GB
No,44,No,no,CT,Female,46,No,No,,Other,,,,,1,,9,1,0,0,0,Less than 5 GB
No,44,No,no,ID,Female,45,No,No,,Other,,,,,1,,8,0,0,0,0,Less than 5 GB
No,44,No,no,ND,Female,49,No,No,,Other,,,,,1,,22,1,0,44,5,Between 5 and 10 GB
No,44,No,no,NV,Female,59,No,No,,Other,,,,,1,,9,0,0,0,0,Less than 5 GB
No,44,No,no,NY,Female,41,No,No,,Other,,,,,1,,10,0,0,0,0,Less than 5 GB
No,44,No,no,OH,Female,64,No,No,,Other,,,,,1,,22,2,0,75,4,Less than 5 GB
No,44,No,no,SC,Female,41,No,No,,Other,,,,,1,,21,0,0,55,6,Between 5 and 10 GB
No,44,No,no,VT,Female,38,No,No,,Other,,,,,1,,12,0,0,0,0,Less than 5 GB
No,44,No,no,WV,Female,51,No,No,,Other,,,,,1,,7,0,0,0,0,Less than 5 GB
No,44,Yes,no,AK,Female,59,No,No,,Other,,,,,1,,10,1,115.3,0,0,Less than 5 GB
No,44,Yes,no,AZ,Female,45,No,No,,Other,,,,,1,,8,0,244.2,0,0,Less than 5 GB
No,44,Yes,no,DC,Male,35,No,No,,Other,,,,,1,,10,1,236.1,0,0,Less than 5 GB
No,44,Yes,no,KS,Male,64,No,No,,Other,,,,,1,,12,0,184.8,0,0,Less than 5 GB
No,44,Yes,no,LA,Male,42,No,No,,Other,,,,,1,,10,0,76.6,0,0,Less than 5 GB
No,44,Yes,no,ND,Male,24,Yes,No,,Under 30,,,,,1,,6,1,198,0,0,Less than 5 GB
No,44,Yes,no,UT,Female,41,No,No,,Other,,,,,1,,41,2,206.8,0,3,Less than 5 GB
No,44,Yes,yes,DC,Female,41,No,No,,Other,,,,,1,,14,0,0,0,0,Less than 5 GB
No,45,No,no,AL,Female,44,No,No,,Other,,,,,1,,47,0,0,82,7,Between 5 and 10 GB
No,45,No,no,MN,Female,78,No,Yes,No,Senior,Two Year,Credit Card,(blank),(blank),1,,17,1,0,24,9,Between 5 and 10 GB
No,45,No,no,NM,Female,56,No,No,,Other,,,,,1,,7,1,0,0,0,Less than 5 GB
No,45,No,no,SD,Male,20,Yes,No,,Under 30,,,,,1,,11,0,0,0,0,Less than 5 GB
No,45,No,no,WV,Female,55,No,No,,Other,,,,,1,,53,0,0,24,4,Less than 5 GB
No,45,No,no,WV,Male,46,No,No,,Other,,,,,1,,8,0,0,0,0,Less than 5 GB
No,45,Yes,no,FL,Female,22,Yes,No,,Under 30,,,,,1,,8,0,110.3,0,0,Less than 5 GB
No,45,Yes,no,IN,Male,36,No,No,,Other,,,,,1,,10,0,111.4,0,0,Less than 5 GB
No,45,Yes,no,MN,Male,67,No,Yes,Yes,Senior,Two Year,Paper Check,(blank),(blank),1,,10,2,182.3,0,0,Less than 5 GB
No,45,Yes,no,OH,Male,52,No,No,,Other,,,,,1,,11,1,330.8,0,0,Less than 5 GB
No,45,Yes,no,SD,Male,76,No,Yes,No,Senior,Month-to-Month,Direct Debit,Competitor,Competitor offered more data,1,1,34,5,235.5,13,1,Less than 5 GB
No,45,Yes,yes,GA,Male,49,No,No,,Other,,,,,1,,9,1,0,0,0,Less than 5 GB
No,46,No,no,CO,Female,47,No,No,,Other,,,,,1,,8,0,0,0,0,Less than 5 GB
No,46,No,no,CO,Male,62,No,No,,Other,,,,,1,,18,0,0,81,10,Between 5 and 10 GB
No,46,No,no,CT,Female,43,No,No,,Other,,,,,1,,27,2,0,18,5,Between 5 and 10 GB
No,46,No,no,CT,Female,60,No,No,,Other,,,,,1,,7,0,0,0,0,Less than 5 GB
No,46,No,no,IA,Male,50,No,No,,Other,,,,,1,,9,0,0,0,0,Less than 5 GB
No,46,No,no,KY,Female,60,No,No,,Other,,,,,1,,13,0,0,0,0,Less than 5 GB
No,46,No,no,MS,Female,37,No,No,,Other,,,,,1,,12,0,0,0,0,Less than 5 GB
No,46,No,no,NH,Male,39,No,No,,Other,,,,,1,,7,0,0,0,0,Less than 5 GB
No,46,No,no,NJ,Male,27,Yes,No,,Under 30,,,,,1,,35,3,0,30,17,10 o more GB
No,46,No,no,OH,Female,54,No,No,,Other,,,,,1,,28,0,0,12,29,10 o more GB
No,46,No,no,PA,Male,21,Yes,No,,Under 30,,,,,1,,11,0,0,0,0,Less than 5 GB
No,46,No,no,SC,Female,55,No,No,,Other,,,,,1,1,32,5,0,44,2,Less than 5 GB
No,46,No,no,TX,Female,54,No,No,,Other,,,,,1,,8,2,0,0,0,Less than 5 GB
No,46,No,no,UT,Female,40,No,No,,Other,,,,,1,,12,0,0,0,0,Less than 5 GB
No,46,No,no,VT,Male,29,Yes,No,,Under 30,,,,,1,,11,0,0,0,0,Less than 5 GB
No,46,Yes,no,FL,Female,48,No,No,,Other,,,,,1,,32,0,96.6,26,6,Between 5 and 10 GB
No,46,Yes,no,SC,Male,67,No,Yes,No,Senior,Two Year,Credit Card,(blank),(blank),1,,21,0,203.9,52,7,Between 5 and 10 GB
No,46,Yes,no,VT,Male,48,No,No,,Other,,,,,1,1,13,2,7.9,0,0,Less than 5 GB
No,46,Yes,yes,AL,Female,41,No,No,,Other,,,,,1,,17,0,0,0,0,Less than 5 GB
No,46,Yes,yes,KS,Female,40,No,No,,Other,,,,,1,,51,1,0,49,5,Between 5 and 10 GB
No,46,Yes,yes,NC,Male,24,Yes,No,,Under 30,,,,,1,,6,0,0,0,0,Less than 5 GB
No,46,Yes,yes,WI,Female,26,Yes,No,,Under 30,,,,,1,,7,0,0,0,0,Less than 5 GB
No,47,No,no,GA,Female,42,No,No,,Other,,,,,1,,15,0,0,0,0,Less than 5 GB
No,47,No,no,MD,Female,47,No,No,,Other,,,,,1,,16,0,0,0,0,Less than 5 GB
No,47,No,no,MD,Male,85,No,Yes,No,Senior,One Year,Direct Debit,Competitor,Competitor offered higher download speeds,1,1,27,1,0,64,3,Less than 5 GB
No,47,No,no,ME,Female,47,No,No,,Other,,,,,1,,15,2,0,0,0,Less than 5 GB
No,47,No,no,MN,Female,25,Yes,No,,Under 30,,,,,1,,12,0,0,0,0,Less than 5 GB
No,47,No,no,MN,Female,27,Yes,No,,Under 30,,,,,1,,7,0,0,0,0,Less than 5 GB
No,47,No,no,MN,Male,30,No,No,,Other,,,,,1,,7,0,0,0,0,Less than 5 GB
No,47,No,no,MO,Male,48,No,No,,Other,,,,,1,,11,1,0,0,0,Less than 5 GB
No,47,No,no,NJ,Male,23,Yes,No,,Under 30,,,,,1,,10,2,0,0,0,Less than 5 GB
No,47,No,no,NV,Female,30,No,No,,Other,,,,,1,1,17,4,4.3,74,15,10 o more GB
No,47,No,no,RI,Female,21,Yes,No,,Under 30,,,,,1,,12,0,0,0,0,Less than 5 GB
No,47,No,no,SD,Male,49,No,No,,Other,,,,,1,,30,0,0,23,2,Less than 5 GB
No,47,No,no,UT,Female,65,No,No,,Other,,,,,1,,14,0,0,0,1,Less than 5 GB
No,47,No,no,VA,Male,57,No,No,,Other,,,,,1,,7,0,0,0,0,Less than 5 GB
No,47,No,no,WA,Female,35,No,No,,Other,,,,,1,,9,0,0,0,0,Less than 5 GB
No,47,No,no,WA,Male,28,Yes,No,,Under 30,,,,,1,,7,0,0,0,0,Less than 5 GB
No,47,No,no,WI,Male,38,No,No,,Other,,,,,1,,9,1,0,0,0,Less than 5 GB
No,47,Yes,no,CO,Male,69,No,Yes,No,Senior,Month-to-Month,Credit Card,Other,Moved,1,1,31,2,84,23,10,Between 5 and 10 GB
No,47,Yes,no,CT,Male,58,No,No,,Other,,,,,1,1,59,3,121.9,0,4,Less than 5 GB
No,47,Yes,no,MT,Female,22,Yes,No,,Under 30,,,,,1,,9,0,209.2,0,0,Less than 5 GB
No,47,Yes,no,NH,Male,69,No,Yes,Yes,Senior,One Year,Direct Debit,(blank),(blank),1,,42,1,197.4,38,11,10 o more GB
No,47,Yes,no,NY,Female,21,Yes,No,,Under 30,,,,,1,,11,2,255.4,0,0,Less than 5 GB
No,47,Yes,no,NY,Female,35,No,No,,Other,,,,,1,,23,1,87.7,35,11,10 o more GB
No,47,Yes,no,PA,Male,54,No,No,,Other,,,,,1,,12,2,121.3,0,0,Less than 5 GB
No,47,Yes,no,VA,Male,21,Yes,No,,Under 30,,,,,1,,9,1,324.3,0,0,Less than 5 GB
No,47,Yes,no,VT,Male,30,No,No,,Other,,,,,1,,8,0,122.2,0,0,Less than 5 GB
No,47,Yes,no,WI,Female,25,Yes,No,,Under 30,,,,,1,,26,0,128.8,23,10,Between 5 and 10 GB
No,48,No,no,CT,Female,39,No,No,,Other,,,,,1,,6,2,0,0,0,Less than 5 GB
No,48,No,no,IA,Female,53,No,No,,Other,,,,,1,,28,0,0,25,1,Less than 5 GB
No,48,No,no,KS,Female,23,Yes,No,,Under 30,,,,,1,,8,0,0,0,0,Less than 5 GB
No,48,No,no,KY,Female,22,Yes,No,,Under 30,,,,,1,,31,0,0,57,26,10 o more GB
No,48,No,no,MI,Female,78,No,Yes,No,Senior,Month-to-Month,Direct Debit,Dissatisfaction,Network reliability,1,1,51,1,0,31,4,Less than 5 GB
No,48,No,no,OK,Male,23,Yes,No,,Under 30,,,,,1,,43,2,0,42,21,10 o more GB
No,48,No,no,RI,Male,68,No,Yes,No,Senior,Two Year,Direct Debit,(blank),(blank),1,,15,0,0,0,0,Less than 5 GB
No,48,No,no,TN,Female,52,No,No,,Other,,,,,1,,8,0,0,0,0,Less than 5 GB
No,48,No,no,TX,Female,33,No,No,,Other,,,,,1,,9,0,0,0,0,Less than 5 GB
No,48,No,no,TX,Female,34,No,No,,Other,,,,,1,,7,0,0,0,0,Less than 5 GB
No,48,No,no,VT,Female,32,No,No,,Other,,,,,1,,7,0,0,0,0,Less than 5 GB
No,48,Yes,no,AL,Female,25,Yes,No,,Under 30,,,,,1,,9,0,151.2,0,0,Less than 5 GB
No,48,Yes,no,GA,Female,70,No,Yes,No,Senior,Month-to-Month,Direct Debit,(blank),(blank),1,,42,0,388.8,75,2,Less than 5 GB
No,48,Yes,no,NJ,Male,44,No,No,,Other,,,,,1,,43,0,142.1,48,6,Between 5 and 10 GB
No,48,Yes,no,OR,Female,45,No,No,,Other,,,,,1,1,68,3,121.9,0,6,Between 5 and 10 GB
No,48,Yes,yes,VT,Male,76,No,Yes,No,Senior,One Year,Credit Card,(blank),(blank),1,,9,0,0,0,0,Less than 5 GB
No,49,No,no,ME,Male,27,Yes,No,,Under 30,,,,,1,1,36,2,0,75,15,10 o more GB
No,49,No,no,NJ,Male,45,No,No,,Other,,,,,1,,9,0,0,0,0,Less than 5 GB
No,49,No,no,PA,Female,45,No,No,,Other,,,,,1,,39,0,0,73,2,Less than 5 GB
No,49,No,no,RI,Female,70,No,Yes,No,Senior,Two Year,Credit Card,(blank),(blank),1,,13,2,0,0,0,Less than 5 GB
No,49,No,no,SC,Female,45,No,No,,Other,,,,,1,,8,0,0,0,0,Less than 5 GB
No,49,No,no,UT,Male,26,Yes,No,,Under 30,,,,,2,1,22,2.5,0,25,15,10 o more GB
No,49,No,no,UT,Male,62,No,No,,Other,,,,,1,,62,0,0,33,3,Less than 5 GB
No,49,No,no,VT,Male,74,No,Yes,No,Senior,Month-to-Month,Direct Debit,(blank),(blank),1,,24,0,0,64,6,Between 5 and 10 GB
No,49,No,yes,NC,Male,61,No,No,,Other,,,,,1,1,20,5,0,24,1,Less than 5 GB
No,49,Yes,no,CO,Female,25,Yes,No,,Under 30,,,,,1,1,13,4,89.2,0,0,Less than 5 GB
No,49,Yes,no,DC,Male,44,No,No,,Other,,,,,1,,11,0,76.4,0,0,Less than 5 GB
No,49,Yes,no,FL,Female,58,No,No,,Other,,,,,1,,13,1,377.3,0,0,Less than 5 GB
No,49,Yes,no,MA,Female,67,No,Yes,No,Senior,One Year,Direct Debit,(blank),(blank),1,,16,2,103.9,0,0,Less than 5 GB
No,49,Yes,no,ND,Male,60,No,No,,Other,,,,,1,1,33,2,237.7,13,12,10 o more GB
No,49,Yes,no,NE,Female,50,No,No,,Other,,,,,1,,9,0,113.9,0,0,Less than 5 GB
No,49,Yes,no,NE,Male,60,No,No,,Other,,,,,1,,11,2,69.8,0,0,Less than 5 GB
No,50,No,no,IA,Female,21,Yes,No,,Under 30,,,,,1,,34,0,0,21,21,10 o more GB
No,50,No,no,ID,Female,61,No,No,,Other,,,,,1,,11,0,0,0,0,Less than 5 GB
No,50,No,no,IN,Male,38,No,No,,Other,,,,,1,,10,0,0,0,0,Less than 5 GB
No,50,No,no,KS,Male,67,No,Yes,No,Senior,Two Year,Credit Card,(blank),(blank),1,,7,2,0,0,0,Less than 5 GB
No,50,No,no,KS,Male,71,No,Yes,No,Senior,One Year,Direct Debit,(blank),(blank),1,,11,0,0,0,0,Less than 5 GB
No,50,No,no,MN,Female,66,No,Yes,No,Senior,One Year,Credit Card,(blank),(blank),1,,7,0,0,0,0,Less than 5 GB
No,50,No,no,MO,Male,45,No,No,,Other,,,,,1,,11,0,0,0,0,Less than 5 GB
No,50,No,no,NC,Female,59,No,No,,Other,,,,,1,,10,1,0,0,0,Less than 5 GB
No,50,No,no,NC,Male,60,No,No,,Other,,,,,1,,11,1,0,0,0,Less than 5 GB
No,50,No,no,NY,Female,57,No,No,,Other,,,,,1,,14,0,0,0,0,Less than 5 GB
No,50,No,no,VT,Male,52,No,No,,Other,,,,,1,,39,2,0,6,2,Less than 5 GB
No,50,Yes,no,CO,Male,42,No,No,,Other,,,,,1,,11,1,345,0,0,Less than 5 GB
No,50,Yes,no,CO,Male,59,No,No,,Other,,,,,1,,48,1,205,12,4,Less than 5 GB
No,50,Yes,no,GA,Female,58,No,No,,Other,,,,,1,,8,0,265,0,0,Less than 5 GB
No,50,Yes,no,MN,Female,29,Yes,No,,Under 30,,,,,1,,15,1,153.8,57,13,10 o more GB
No,50,Yes,no,TN,Female,61,No,No,,Other,,,,,1,,10,0,268.3,0,0,Less than 5 GB
No,50,Yes,no,TN,Male,29,Yes,No,,Under 30,,,,,1,,34,1,125,18,9,Between 5 and 10 GB
No,50,Yes,yes,MD,Female,65,No,Yes,No,Senior,One Year,Direct Debit,(blank),(blank),1,,10,0,0,0,0,Less than 5 GB
No,50,Yes,yes,OH,Male,67,No,Yes,No,Senior,Two Year,Credit Card,(blank),(blank),1,,16,1,0,0,0,Less than 5 GB
No,51,No,no,IA,Male,59,No,No,,Other,,,,,1,,57,0,0,38,1,Less than 5 GB
No,51,No,no,ID,Male,41,No,No,,Other,,,,,1,,8,0,0,0,0,Less than 5 GB
No,51,No,no,IL,Male,45,No,No,,Other,,,,,1,1,36,2,0,34,2,Less than 5 GB
No,51,No,no,KS,Male,21,Yes,No,,Under 30,,,,,1,,10,0,0,0,0,Less than 5 GB
No,51,No,no,KY,Female,20,Yes,No,,Under 30,,,,,1,,53,0,0,6,12,10 o more GB
No,51,No,no,MN,Male,27,Yes,No,,Under 30,,,,,1,,8,0,0,0,0,Less than 5 GB
No,51,No,no,MS,Female,76,No,Yes,No,Senior,Two Year,Credit Card,(blank),(blank),1,,9,0,0,0,0,Less than 5 GB
No,51,No,no,MS,Male,23,Yes,No,,Under 30,,,,,1,,44,0,0,0,17,10 o more GB
No,51,No,no,MS,Male,35,No,No,,Other,,,,,1,,8,0,0,0,0,Less than 5 GB
No,51,No,no,NM,Female,33,No,No,,Other,,,,,1,,9,0,0,0,0,Less than 5 GB
No,51,No,no,OH,Male,46,No,No,,Other,,,,,1,,8,1,0,0,0,Less than 5 GB
No,51,No,no,SD,Female,64,No,No,,Other,,,,,1,,6,0,0,0,0,Less than 5 GB
No,51,No,no,TX,Male,49,No,No,,Other,,,,,1,,54,0,0,6,5,Between 5 and 10 GB
No,51,No,no,WI,Male,30,No,No,,Other,,,,,1,,45,0,0,72,11,10 o more GB
No,51,No,no,WV,Female,24,Yes,No,,Under 30,,,,,1,,12,0,0,0,0,Less than 5 GB
No,51,No,no,WV,Female,50,No,No,,Other,,,,,1,,9,1,0,0,0,Less than 5 GB
No,51,No,no,WV,Male,59,No,No,,Other,,,,,1,,9,2,0,0,0,Less than 5 GB
No,51,Yes,no,AK,Female,54,No,No,,Other,,,,,1,,8,1,153,0,0,Less than 5 GB
No,51,Yes,no,KY,Female,65,No,No,,Other,,,,,1,1,53,1,125,33,1,Less than 5 GB
No,51,Yes,no,MD,Male,36,No,No,,Other,,,,,1,,13,0,323.9,0,0,Less than 5 GB
No,51,Yes,no,ME,Male,62,No,No,,Other,,,,,1,,8,1,257.6,0,0,Less than 5 GB
No,51,Yes,no,TX,Male,39,No,No,,Other,,,,,1,,8,0,106.1,0,0,Less than 5 GB
No,51,Yes,no,VT,Female,61,No,No,,Other,,,,,1,,17,0,323.9,53,2,Less than 5 GB
No,52,No,no,AR,Male,24,Yes,No,,Under 30,,,,,1,,10,0,0,0,0,Less than 5 GB
No,52,No,no,GA,Female,28,Yes,No,,Under 30,,,,,1,,12,1,0,0,0,Less than 5 GB
No,52,No,no,HI,Male,26,Yes,No,,Under 30,,,,,1,,9,0,0,0,0,Less than 5 GB
No,52,No,no,HI,Male,67,No,Yes,No,Senior,Two Year,Direct Debit,Competitor,Competitor made better offer,1,1,57,4,0,70,9,Between 5 and 10 GB
No,52,No,no,KY,Female,44,No,No,,Other,,,,,1,,9,2,0,0,0,Less than 5 GB
No,52,No,no,MN,Female,54,No,No,,Other,,,,,1,,8,0,0,0,0,Less than 5 GB
No,52,No,no,MT,Female,48,No,No,,Other,,,,,1,,7,0,0,0,0,Less than 5 GB
No,52,No,no,NV,Male,58,No,No,,Other,,,,,1,,50,0,0,25,8,Between 5 and 10 GB
No,52,No,no,OH,Female,40,No,No,,Other,,,,,1,,6,0,0,0,0,Less than 5 GB
No,52,No,no,OR,Male,62,No,No,,Other,,,,,1,,36,0,0,39,8,Between 5 and 10 GB
No,52,No,no,TX,Male,35,No,No,,Other,,,,,1,,10,0,0,0,0,Less than 5 GB
No,52,No,no,WA,Male,65,No,Yes,Yes,Senior,Two Year,Paper Check,(blank),(blank),1,,9,1,0,0,0,Less than 5 GB
No,52,No,no,WV,Female,23,Yes,No,,Under 30,,,,,1,,11,2,0,0,0,Less than 5 GB
No,52,Yes,no,AK,Female,30,No,No,,Other,,,,,1,,9,0,168.1,0,0,Less than 5 GB
No,52,Yes,no,CT,Male,36,No,No,,Other,,,,,1,,7,1,154.7,0,0,Less than 5 GB
No,52,Yes,no,DE,Male,73,No,Yes,No,Senior,Month-to-Month,Direct Debit,Competitor,Competitor made better offer,1,1,28,0,27.9,20,4,Less than 5 GB
No,52,Yes,no,ID,Female,60,No,No,,Other,,,,,1,,13,0,254.8,0,0,Less than 5 GB
No,52,Yes,no,NV,Female,44,No,No,,Other,,,,,1,,25,0,330.2,69,7,Between 5 and 10 GB
No,52,Yes,no,PA,Female,84,No,Yes,No,Senior,One Year,Direct Debit,(blank),(blank),1,,12,0,138.3,0,0,Less than 5 GB
No,52,Yes,no,WV,Female,64,No,No,,Other,,,,,1,,11,0,211.9,0,0,Less than 5 GB
No,52,Yes,no,WV,Male,51,No,No,,Other,,,,,1,,7,0,122.2,0,0,Less than 5 GB
No,52,Yes,yes,FL,Male,43,No,No,,Other,,,,,1,,10,1,0,0,0,Less than 5 GB
No,52,Yes,yes,RI,Female,61,No,No,,Other,,,,,1,,8,0,0,0,0,Less than 5 GB
No,52,Yes,yes,WV,Female,64,No,No,,Other,,,,,1,,5,1,0,0,0,Less than 5 GB
No,53,No,no,AZ,Female,45,No,No,,Other,,,,,1,,51,0,0,82,14,10 o more GB
No,53,No,no,DC,Female,39,No,No,,Other,,,,,1,,11,1,0,0,0,Less than 5 GB
No,53,No,no,HI,Female,64,No,No,,Other,,,,,1,,9,1,0,0,0,Less than 5 GB
No,53,No,no,IA,Male,42,No,No,,Other,,,,,1,,10,0,0,0,0,Less than 5 GB
No,53,No,no,LA,Male,45,No,No,,Other,,,,,1,,9,0,0,0,0,Less than 5 GB
No,53,No,no,MN,Female,24,Yes,No,,Under 30,,,,,1,,7,0,0,0,0,Less than 5 GB
No,53,No,no,MS,Male,66,No,Yes,No,Senior,Two Year,Direct Debit,(blank),(blank),1,,7,0,0,0,0,Less than 5 GB
No,53,No,no,NC,Female,21,Yes,No,,Under 30,,,,,1,,34,1,0,99,13,10 o more GB
No,53,No,no,ND,Female,67,No,Yes,No,Senior,One Year,Direct Debit,(blank),(blank),1,,65,0,0,33,4,Less than 5 GB
No,53,No,no,NM,Female,41,No,No,,Other,,,,,1,,7,2,0,0,0,Less than 5 GB
No,53,No,no,TX,Female,29,Yes,No,,Under 30,,,,,1,,7,1,0,0,0,Less than 5 GB
No,53,Yes,no,CT,Male,66,No,Yes,No,Senior,Two Year,Direct Debit,Price,Long distance charges,1,1,8,4,189,0,0,Less than 5 GB
No,53,Yes,no,KS,Male,33,No,No,,Other,,,,,1,,11,1,126.1,0,0,Less than 5 GB
No,53,Yes,no,ME,Male,41,No,No,,Other,,,,,1,,8,0,184.2,0,0,Less than 5 GB
No,53,Yes,no,NH,Male,30,No,No,,Other,,,,,1,1,34,5,196.1,33,24,10 o more GB
No,53,Yes,no,OH,Male,21,Yes,No,,Under 30,,,,,1,1,16,3,227.9,0,0,Less than 5 GB
No,53,Yes,no,SC,Female,60,No,No,,Other,,,,,1,,7,1,49.8,0,0,Less than 5 GB
No,53,Yes,no,UT,Male,32,No,No,,Other,,,,,1,,30,0,101.8,40,12,10 o more GB
No,53,Yes,no,VT,Female,61,No,No,,Other,,,,,1,,23,0,151.6,67,4,Less than 5 GB
